license_numbers,premise_address,_id,name_of_license,business_name
SE13135L000,"311 NEW UPPER CHANGI ROAD, #B2-60 BEDOK MALL, S(467360)",510,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SE13S71X000,"57 NEW UPPER CHANGI ROAD, #01-1334, S(461057)",511,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SE13S89V000,"2 FIRST STREET, #01-05-16 SIGLAP V, S(458278)",512,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
SE13U91V000,"30 EAST COAST ROAD, #01-06-09 VILLAGE HOTEL KATONG, S(428751)",513,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SE14377P000,"430 UPPER CHANGI ROAD, #01-47 EAST VILLAGE, S(487048)",514,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
SE14441L000,"6 POTONG PASIR AVENUE 2, #01-01 POTONG PASIR COMMUNITY CENTRE, S(358361)",515,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SE14467N000,"1 STADIUM PLACE, #01-29 KALLANG WAVE MALL, S(397628)",516,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SE14775X000,"3 SIMEI STREET 6, #05-01 EASTPOINT MALL, S(528833)",517,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SE14875L000,"11 TANJONG KATONG ROAD KINEX, S(437157)",518,HAO MART PTE. LTD.,HAO MART
SE14965K000,"342 TANJONG KATONG ROAD, S(437112)",519,MEAT COLLECTIVE SINGAPORE PRIVATE LIMITED,Meat Collective
SE14A83A000,"60 PAYA LEBAR ROAD, #B1-01-05 PAYA LEBAR SQUARE, S(409051)",520,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
SE14C27C000,"1B FIGARO STREET OPERA ESTATE, S(458322)",521,SWISS-BAKE PTE. LTD.,Zac Butchery
SE15043B000,"313 TANJONG KATONG ROAD, S(437096)",522,FOODIE MARKET PLACE PTE. LTD.,FOODIE MARKET PLACE
SE15464L000,"599 GEYLANG ROAD, #01-01, S(389538)",523,ABEDIN TRADING PTE. LTD.,ABEDIN MINIMART
SE16122V000,"401 MACPHERSON ROAD, #02-22/29 MACPHERSON MALL, S(368125)",524,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SE16233J000,"18B CIRCUIT ROAD, #01-260 MACPHERSON RESIDENCY, S(372018)",525,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
SE16607K000,"750 CHAI CHEE ROAD, #01-10 VIVA BUSINESS PARK, S(469000)",526,L M MEAT PTE. LTD.,MMMM! CHAI CHEE
SE17082P000,"18 TAI SENG STREET, #B1-13, S(539775)",527,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SE17345J000,"31A TANAH MERAH COAST ROAD, #01-01, S(498720)",528,JSJ CORPORATION PTE. LTD.,JSJ MINIMART
SE17401C000,"18 BEDOK SOUTH ROAD, #01-67, S(460018)",529,"TANG KER AN, TIMOTHY",TIM'S FROZEN
SE17481P000,"10 EUNOS ROAD 8, #B1-101 SINGAPORE POST CENTRE, S(408600)",530,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SE17500A000,"69 BEDOK SOUTH AVENUE 3, #01-484, S(460069)",531,HAO MART PTE. LTD.,HAO MART
SE18169X000,"11 TANJONG KATONG ROAD, #B1-15 ONE KM, S(437157)",532,SONG FISH DEALER PTE LTD,TASTY FARM
SE18184V000,"448/450 GEYLANG ROAD, S(389407)",533,HAO MART PTE. LTD.,HAO MART
SE18544L000,"330 TANJONG KATONG ROAD, S(437106)",534,JMD RETAIL PTE. LTD.,JMD RETAIL
SE18A90N000,"379 GUILLEMARD ROAD, #01-00, S(399783)",535,PINTO EXPRESS LLP,THAI SUPERMARKET
SE19104A000,"78 AIRPORT BOULEVARD, #B2-205, S(819666)",536,NTUC FAIRPRICE CO-OPERATIVE LTD,FAIRPRICE FINEST
SE19557P000,"10 PAYA LEBAR ROAD, #B2-11, S(409057)",537,SONG FISH DEALER PTE LTD,THE SEAFOOD MARKET PLACE BY SONG FISH
SE19562A000,"10 PAYA LEBAR ROAD, #B2-09, S(409057)",538,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SNE19006A000,"602A TAMPINES AVENUE 9, S(521602)",539,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
SNE19019L000,"322 SUMANG WALK MULTI STOREY CAR PARK, S(820322)",540,PRIME SUPERMARKET (1996) PTE LTD,Prime Supermarket
SNE20031P000,"829 TAMPINES STREET 81 TAMPINES GROVE, S(520829)",541,U STARS SUPERMARKET PTE. LTD.,U Stars Supermarket
SNE20033L000,"476 UPPER SERANGOON VIEW HOUGANG CAPEVIEW, S(530476)",542,DANISHA TRADING PTE. LTD.,DANISHA TRADING
SNE20045C000,"39 LOWLAND ROAD LOWLAND GARDEN, S(547441)",543,CLEMENTS FOODCELLAR PTE. LTD.,The Foodcellar
SNW19005L000,"182 WOODLANDS STREET 13 MULTI STOREY CAR PARK, S(730182)",544,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
SNW19010X000,"365 SEMBAWANG CRESCENT, #01-01, S(750365)",545,PRIME SUPERMARKET (1996) PTE LTD,Prime Supermarket
SNW19014K000,"17 DAIRY FARM ROAD THE DAIRY FARM ESTATE, S(679043)",546,EUM PRIVATE LIMITED,ZENMART
SNW19021L000,"202 MARSILING DRIVE, S(730202)",547,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
SNW20023C000,"361 SEMBAWANG CRESCENT MULTI STOREY CAR PARK, S(750361)",548,ANG MO SUPERMARKET PTE LTD,ANY MO SUPERMARKET
SNW20026V000,"6 MANDAI LINK CMM Marketing Management Pte Ltd, S(728652)",549,SHENG SIONG SUPERMARKET PTE LTD,Sheng Siong Training Supermarket
SNW20038L000,"693 WOODLANDS AVENUE 6 MULTI STOREY CAR PARK, S(730693)",550,ANG MO SUPERMARKET PTE LTD,ANY MO SUPERMARKET
SSE19017X000,"447 CHANGI ROAD, S(419875)",551,7MALL.SHOP PTE. LTD.,7mall.shop
SSE20037E000,"693 EAST COAST ROAD FRANKEL ESTATE, S(459058)",552,AL FORNO (EAST COAST) PTE LTD,al forno
SSE20041N000,"184 EAST COAST ROAD, S(428890)",553,SUN RUI,Ever+
SSW19008P000,"18 SUNGEI KADUT STREET 2 SUNGEI KADUT INDUSTRIAL ESTATE, S(729236)",554,S POWER GLOBAL PTE. LTD.,S Power Supermart
SSW19009N000,"129 TUAS VIEW SQUARE, S(637741)",555,DHAKA SUPERMARKET,DHAKA SUPERMARKET
SSW19022V000,"50 JURONG GATEWAY ROAD JEM, S(608549)",556,PAN PACIFIC RETAIL MANAGEMENT (SINGAPORE) PTE. LTD.,DON DON DONKI
SW04097K000,"159 BUKIT BATOK STREET 11, #01-178, S(650159)",557,PRIME SUPERMARKET LIMITED,Prime supermarket
SW04158X000,"108 DEPOT ROAD, #01-01 DEPOT HEIGHTS SHOPPING CENTRE, S(100108)",558,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SW05008N000,"638 JURONG WEST STREET 61, #03-01 PIONEER MALL, S(640638)",559,COLD STORAGE SINGAPORE (1983) PTE LTD,GIANT
SW05051J000,"720 CLEMENTI WEST STREET 2, #01-144, S(120720)",560,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
SW06002X000,"19 TOH GUAN ROAD EAST, #01-65, S(608568)",561,TOH GUAN MINI MART PTE. LTD.,TOH GUAN MINIMART
SW06322N000,"395A BUKIT BATOK WEST AVENUE 5, #03-10 MULTI STOREY CAR PARK, S(651395)",562,OH BENG GUAN,-
SW06590A000,"1 HARBOURFRONT WALK, #01-23 VIVOCITY, S(098585)",563,NTUC FAIRPRICE CO-OPERATIVE LTD,FAIRPRICE XTRA
SW06806E000,"17 LORONG KILAT, #01-02 KILAT COURT, S(598139)",564,LOTTE MART PTE. LTD.,LOTTE KOREAN MART
SW07070J000,"284 BUKIT BATOK EAST AVENUE 3, #01-251, S(650284)",565,COLD STORAGE SINGAPORE (1983) PTE LTD,GIANT
SW07209E000,"7 JURONG WEST AVENUE 5, S(649486)",566,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
SW07331C000,"352 CLEMENTI AVENUE 2, #01-91&99, S(120352)",567,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
SW07481A000,"28 DOVER CRESCENT, #01-83 MULTI STOREY CAR PARK, S(130028)",568,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SW07E27X000,"30 PENJURU PLACE, #01-06/07, S(608557)",569,KINGSMART PTE. LTD.,kingsmart
SW08807K000,"154 WEST COAST ROAD #B1-19 WEST COAST PLAZA, S(127371)",570,COLD STORAGE SINGAPORE (1983) PTE LTD,coldstorage
SW08821N000,"140 TECK WHYE LANE, #01-351, S(680140)",571,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SW08907C000,"555 UPPER JURONG ROAD, #01-02, S(638368)",572,GOWRI'S GLOBAL MARKETING PTE. LTD.,GOWRI'S GLOBAL MARKETING
SW08A55C000,"51 SOON LEE ROAD, #01-51A, S(628088)",573,CHD @ SOON LEE PTE. LTD.,CHD @ SOON LEE
SW08A59X000,"63 JURONG WEST CENTRAL 3 #03-01 JURONG POINT SHOPPING CENTRE, S(648331)",574,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SW09032C000,"21 CHOA CHU KANG NORTH 6, #B1-01-07 YEW TEE POINT, S(689578)",575,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SW09133X000,"503 JURONG WEST AVENUE 1, #01-847, S(640503)",576,LOCH GROCER PTE. LTD.,LOCH GROCER
SW09285K000,"61 CHOA CHU KANG DRIVE, #01-01 YEW TEE MRT STATION, S(689715)",577,NTUC FAIRPRICE CO-OPERATIVE LTD,FAIRPRICE FINEST
SW09288C000,"14 TECH PARK CRESCENT, #01-02, S(638118)",578,SADIA SUPERMARKET & TRADING (S) PTE. LTD.,SADIA SUPERMARKET & TRADING 
SW09426V000,"2D JALAN PAPAN, #01-04, S(619415)",579,PHANG NEE ENTERPRISE PTE. LTD.,phang nee
SW09752V000,"5 TECH PARK CRESCENT, #01-02, S(638127)",580,LAMIAH ENTERPRISE PTE. LTD.,-
SW10780J000,"32 TUAS VIEW SQUARE, #01-02, S(637778)",581,SHARBESUWARY PTE. LTD.,SHARBESUWARY EXPRESS MART
SW10A16E000,"3155 COMMONWEALTH AVENUE WEST #B1-12/13/14 THE CLEMENTI MALL, S(129588)",582,NTUC FAIRPRICE CO-OPERATIVE LTD,FAIRPRICE FINEST
SW11146X000,"15 JALAN TEPONG, #03-02 (PART OF - LEFT SUB-UNIT), JURONG FOOD HUB, S(619336)",583,YS LOGISTICS (S) PTE. LTD.,YS LOGISTICS (S) 
SW11423N000,"18 TECK WHYE LANE, #01-95, S(680018)",584,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
SW11452C000,"78A TELOK BLANGAH STREET 32, #01-01 MULTI STOREY CAR PARK, S(101078)",585,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SW11512N000,"23 PENJURU WALK, #03-81 CASSIA@PENJURU, S(608537)",586,KEK HONG HENG,KOLEE SUPERMARKETS
SW11A26P000,"460 ALEXANDRA ROAD #01-09 & #01-16 PSA BLDG, ALEXANDRA RETAIL CENTRE, S(119963)",587,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SW12C98J000,"2 JURONG EAST CENTRAL 1 JCUBE, S(609731)",588,PAN PACIFIC RETAIL MANAGEMENT (SINGAPORE) PTE. LTD.,DON DON DONKI
SW12F58E000,"352 CLEMENTI AVENUE 2, #01-141 CLEMENTI AVENUE 2 SHOPPING CENTRE, S(120352)",589,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SW12G70J000,"101 CLEMENTI ROAD, #01-01 KENT VALE ESTATE, NUS, S(129787)",590,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
SW12G71E000,"1 COVE AVENUE #02-07/08/09/10 SENTOSA COVE ARRIVAL PLAZA, S(098537)",591,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
SW12H20A000,"498 JURONG WEST STREET 41 #01-434/436/438, S(640498)",592,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SW12J94X000,"1 VISTA EXCHANGE GREEN, #B1-28 THE STAR VISTA, S(138617)",593,TANESEI TRADING PTE. LTD.,J MART
SW12J97L000,"1 VISTA EXCHANGE GREEN #B1-35/36 AND 02 THE STAR VISTA, S(138617)",594,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
SW12L48X000,"12 KRANJI ROAD 1ST STOREY, LODGE 1 WORKERS' DORMITORY, S(739522)",595,AJMAL TRADE MART PTE. LTD.,AJMAL TRADE MART
SW12M64L000,"25 GHIM MOH LINK, #01-11, S(270025)",596,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
SW12M67E000,"420A CLEMENTI AVENUE 1, #01-01, S(121420)",597,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
SW12N25V000,"31 OCEAN WAY, #01-26/27 QUAYSIDE ISLE, SENTOSA, S(098375)",598,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
SW12O05A000,"502 WEST COAST DRIVE, #01-41, S(120502)",599,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SW13245V000,"1 LOWER KENT RIDGE ROAD, #02-16 ONE@KENTRIDGE, S(119082)",600,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SW13368A000,"154 WEST COAST ROAD, #B1-14 WEST COAST PLAZA, S(127371)",601,L M MEAT PTE. LTD.,Mmmm ! WEST COAST PLAZA
SW13Q24X000,"280 BUKIT BATOK EAST AVENUE 3, #01-315, S(650280)",602,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SW13T12J000,"50 JURONG GATEWAY ROAD, #B1-21/22 JEM, S(608549)",603,NTUC FAIRPRICE CO-OPERATIVE LTD,FAIRPRICE XTRA
SW13W88P000,"3 GATEWAY DRIVE, #B2-01 WESTGATE, S(608532)",604,ISETAN (SINGAPORE) LIMITED,ISETAN SUPERMARKET
SW14017K000,"18 TOH GUAN ROAD EAST, #02-02 BLK 28, WESTLITE DORMITORY (TOH GUAN), S(608596)",605,SHAFEN SUPERMARKET & TRADING (S) PTE. LTD.,SHAFEN SUPERMARKET & TRADING 
SW14484J000,"48 TOH GUAN ROAD EAST ENTERPRISE HUB, S(608586)",606,SRI MURUGAN TRADING PTE. LTD.,SRI MURUGAN TRADING
SW14542A000,"4 HILLVIEW RISE, #02-07 HILLV2, S(667979)",607,COLD STORAGE SINGAPORE (1983) PTE LTD,HILLVIEW MARKET PLACE
SW14633X000,"2 BUKIT BATOK WEST AVENUE 7, #01-10 HomeTeamNS BUKIT BATOK CLUBHOUSE, S(659003)",608,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SW14718K000,"70 TUAS SOUTH AVENUE 1 TUAS VIEW DORMITORY, S(637285)",609,AJMAL SUPER MART PTE. LTD.,AJMAL SUPER MART
SW14817E000,"27 PENJURU WALK, #01-24 PENJURU RECREATION CENTRE, S(608538)",610,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
SW14951X000,"1 JOO KOON CIRCLE, #03-21 FAIRPRICE HUB, S(629117)",611,NTUC FAIRPRICE CO-OPERATIVE LTD,WAREHOUSE CLUB
SW14A33P000,"27 PENJURU WALK, #01-08/09 PENJURU RECREATION CENTRE, S(608538)",612,VINAYAK TRADERS PTE. LTD.,VINAYAK TRADERS
SW14A98C000,"27 PENJURU WALK, #01-15 PENJURU RECREATION CENTRE, S(608538)",613,GURU'S MARKETING PTE. LTD.,Gurus Supermarket
SW14B28C000,"115 TUAS VIEW WALK 1 (PART OF- FRONT), FIRST STOREY, WESTLINK TECHPARK, S(637734)",614,SHINVA AGRO FOODS PTE. LTD.,SHINVA AGRO FOODS
SW15051V000,"27 PENJURU WALK, #01-06/07 PENJURU RECREATION CENTRE, S(608538)",615,ARCHANA PROVISION STORES PTE. LTD.,archana
SW15681P000,"21 TUAS VIEW SQUARE (PART OF), S(637640)",616,NPS IMPEX PTE. LTD.,NSP SUPER MART
SW15796X000,"533 CHOA CHU KANG STREET 51, #01-11 LIMBANG SHOPPING CENTRE (HDB), S(680533)",617,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SW15968N000,"37 TEBAN GARDENS ROAD #01-304/305/306, S(600037)",618,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SW15D03B000,"50 NANYANG AVENUE NORTH SPINE , NTU, S(639798)",619,PRIME SUPERMARKET (1996) PTE LTD,Prime Supermarket
SW16126J000,"6 TUAS SOUTH STREET 15 CDPL (TUAS) DORMITORY, S(636906)",620,TUAS SOUTH MINIMART PTE. LTD.,TUAS SOUTH MINIMART
SW16224E000,"3 TUAS SOUTH STREET 12, #01-16 TUAS SOUTH DORMITORY, S(636947)",621,NAWAS GLOBAL PTE. LTD.,NAWAS GLOBAL
SW16814X000,"1 JALAN PAPAN, #01-33, S(619392)",623,VINAYAK TRADERS PTE. LTD.,VINAYAK TRADERS
SW16815P000,"500 OLD CHOA CHU KANG ROAD, #01-02, S(698928)",624,PHAN NEE INVESTMENTS (S) PTE. LTD.,-
SW16856V000,"1 JALAN PAPAN, #01-29, S(619392)",625,ARCHANA SUPERMARKET PTE. LTD.,ARCHANA SUPERMARKET
SW16901A000,"12 TUAS SOUTH STREET 13, #01-20/21, S(636937)",626,SADIA SUPERMARKET & TRADING (S) PTE. LTD.,SADIA SUPERMARKET & TRADING 
SW16921N000,"1 JALAN PAPAN, #01-35, S(619392)",627,CHENNAI TRADING & SUPERMART PTE. LTD.,CHENNAI TRADING & SUPERMARKET
SW16942C000,"12 TUAS SOUTH STREET 13, #01-18/19, S(636937)",628,POPULAR SUPERMARKET PTE. LTD.,POPULAR SUPERMARKET
SW16B52K000,"5 JALAN PAPAN, #01-32 ASPRI-WESTLITE PAPAN, S(619396)",629,AJMAL  TRADING GROUP PTE. LTD.,AJMAL TRADING GROUP
SW16B85N000,"69R TUAS SOUTH AVENUE 1, #01-02, S(639926)",630,KAVI TRADERS PTE. LTD.,KAVI MINIMART
SW16D52V000,"810 CHOA CHU KANG AVENUE 7, #01-01 MULTI STOREY CAR PARK, S(680810)",631,U STARS PTE. LTD.,U STARS SUPERMARKET
SW16D83E000,"249 JURONG EAST STREET 24, #01-106, S(600249)",632,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SW16E98J000,"500 OLD CHOA CHU KANG ROAD, #01-21, S(698924)",633,PHAN NEE INVESTMENTS (S) PTE LTD,PHANNEE SUPERMART
SW16H70N000,"69 TUAS SOUTH AVENUE 1, #01-02 SEATOWN INDUSTRIAL CENTRE, S(637589)",634,MALAR MARKETING PTE. LTD.,MALAR MARKETING
SW17592A000,"50 JURONG GATEWAY ROAD, #B1-43 JEM, S(608549)",635,SONG FISH DEALER PTE LTD,THE SEAFOOD MARKET PLACE BY SONG FISH
SW17728C000,"817 KEAT HONG LINK, #01-14 MULTI STOREY CAR PARK, S(680817)",636,U STARS PTE. LTD.,U STARS MEGAMART
SW17E56V000,"1 FUSIONOPOLIS WAY, #B2-03 CONNEXIS, S(138632)",637,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
SW18581V000,"180 DEPOT ROAD, #01-04 INTERLACE, THE, S(109684)",638,THE QUALITYMART DEPOT PTE. LTD.,THE QUALITYMART DEPOT
SW18715E000,"13 YUK TONG AVENUE CHUN TIN COURT, S(596318)",639,SEOUL BUTCHERY PTE. LTD.,SEOUL BUTCHERY
SW18A30L000,"440 BUKIT BATOK WEST AVENUE 8, #01-10 MULTI STOREY CAR PARK, S(650440)",640,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
SW18A40J000,"35 STUDENTS WALK NTU CANTEEN 2, S(639548)",641,COLD STORAGE SINGAPORE (1983) PTE LTD,GIANT EXPRESS
SW18B79P000,"9 TRACTOR ROAD, S(627970)",642,MURUGAN TRADERS PTE LTD,-
SW18F69X000,"451 BUKIT BATOK WEST AVENUE 6, #01-10 MULTI STOREY CAR PARK, S(650451)",643,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
SW18G66X000,"34 BOON LEAT TERRACE (PART OF), S(119866)",644,HONESTBEE PTE. LTD.,HABITAT BY HONESTBEE
SW19707V000,"14 TUAS AVENUE 1, #01-01 JTC SPACE @ TUAS, S(639499)",645,BALU SUPER MARKET PTE. LTD.,BALU SUPERMARKET
SW19869J000,"292 BUKIT BATOK EAST AVENUE 6, #01-02 MULTI STOREY CAR PARK, S(650292)",646,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
SW19934B000,"1 HARBOURFRONT WALK, #B2-23A VIVO CITY, S(098585)",647,SONG FISH DEALER PTE LTD,THE SEAFOOD MARKET PLACE BY SONG FISH
SW19A15B000,"8 TECH PARK CRESCENT, #01-00, S(638124)",648,NIHI PTE. LTD.,NIHI MINI MART
SW19G50C000,"40 TUAS VIEW SQUARE, #01-03 LANDBASE INDUSTRIAL BUILDING, S(637779)",649,LAMIAH ENTERPRISE PTE. LTD.,LAMIAH MINIMART
W02065N000,"101 THOMSON ROAD, #B1-52 UNITED SQUARE, S(307591)",650,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
W02066L000,"211 HOLLAND AVENUE, #01-05 HOLLAND ROAD SHOPPING CENTRE, S(278967)",651,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
W02068J000,"1 KIM SENG PROMENADE, #B1-18/19 GREAT WORLD CITY, S(237994)",652,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
W02070V000,"290 ORCHARD ROAD, #B1-14/15 THE PARAGON, S(238859)",653,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
W02071X000,"391A ORCHARD ROAD, #B2-01 NGEE ANN CITY TOWER A, S(238873)",654,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
W02072P000,"302 TIONG BAHRU ROAD, #B1-01 TIONG BAHRU PLAZA, S(168732)",655,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
W02073N000,"163 TANGLIN ROAD, #B1-02/03 TANGLIN MALL, S(247933)",656,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
W02074L000,"238 THOMSON ROAD, #01-29 NOVENA SQUARE, S(307683)",657,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
W02075K000,"230 VICTORIA STREET, #B1-16 BUGIS JUNCTION, S(188024)",658,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
W02076J000,"5 BANDA STREET, #03-92, S(050005)",659,HONG HENG SENG,fish supplier
W02078C000,"350 ORCHARD ROAD, #B1-00 SHAW HOUSE, S(238868)",660,ISETAN (SINGAPORE) LIMITED,ISETAN SUPERMARKET
W02080P000,"252 NORTH BRIDGE ROAD, #B1-01 RAFFLES CITY SHOPPING CENTRE, S(179103)",661,COLD STORAGE SINGAPORE (1983) PTE LTD,Market Place
W02081N000,"5001 BEACH ROAD, #02-64 GOLDEN MILE COMPLEX, S(199588)",662,LOH NYEN YIU,thai supermarket
W02083K000,"166 BUKIT MERAH CENTRAL, #01-3527 02-3531 BUKIT MERAH AREA OFFICE, S(150166)",663,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
W02086C000,"50 HAVELOCK ROAD, #01-755, S(160050)",664,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
W02088A000,"68 ORCHARD ROAD, #B2-15/16 PLAZA SINGAPURA, S(238839)",665,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
W02092J000,"5 TANJONG PAGAR PLAZA, #01-01, S(081005)",666,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
W02096A000,"81 CLEMENCEAU AVENUE, #02-18, S(239917)",667,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
W02100V000,"109 BUKIT PURMEI ROAD, #01-155, S(090109)",668,NG CHAI SENG,-
W02140C000,"200 TURF CLUB ROAD THE GRANDSTAND, S(287994)",669,HAO MART PTE. LTD.,HAO MART
W02239E000,"131 KILLINEY ROAD, #01-01,02 ORCHARD GRAND COURT, S(239571)",670,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
W02332N000,"52 CHIN SWEE ROAD, #01-25, S(160052)",671,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
W02430L000,"501 BUKIT TIMAH ROAD, #01-05B (PART OF) CLUNY COURT, S(259760)",672,THE FISHWIVES PTE. LTD.,THE FISHWIVES
W03142N000,"147 SYED ALWI ROAD, S(207706)",673,MUSTAFA HOLDINGS PTE LTD,Mustafa Singapore
W03223N000,"780 YISHUN RING ROAD, #01-3546, S(760780)",674,KAI SOON SUPERMARKET PTE. LTD.,KAI SOON SUPERMARKET
W70029L000,"170 STIRLING ROAD, #01-1147, S(140170)",675,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
W72014K000,"86 REDHILL CLOSE, #01-610, S(150086)",676,COLD STORAGE SINGAPORE (1983) PTE LTD,GIANT
W74072X000,"8 TELOK BLANGAH CRESCENT, #01-171, S(090008)",677,COLD STORAGE SINGAPORE (1983) PTE LTD,GIANT
W89166E000,"176 ORCHARD ROAD, #B1-09/11 CENTREPOINT SHOPPING COMPLEX, S(238843)",678,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
W90084A000,"133 NEW BRIDGE ROAD, #B1-01 CHINATOWN POINT, S(059413)",679,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
